gameCounter,turnCounter,optimisationTechnique,objectiveFunction,score,computationTime
1,1,ILP,ttc,0.0,294
1,1,ILP,ttv,0.0,209
1,2,ILP,ttc,4.0,237
1,2,ILP,ttv,9.0,213
1,3,ILP,ttc,4.0,252
1,3,ILP,ttv,2.0,223
1,4,ILP,ttc,0.0,229
1,4,ILP,ttv,0.0,216
1,5,ILP,ttc,3.0,199
1,5,ILP,ttv,21.0,199
1,6,ILP,ttc,0.0,187
1,6,ILP,ttv,0.0,217
1,7,ILP,ttc,0.0,188
1,7,ILP,ttv,0.0,215
1,8,ILP,ttc,0.0,192
1,8,ILP,ttv,0.0,207
1,9,ILP,ttc,3.0,201
1,9,ILP,ttv,0.0,279
1,10,ILP,ttc,0.0,219
1,10,ILP,ttv,0.0,197
1,11,ILP,ttc,0.0,215
1,11,ILP,ttv,0.0,217
1,12,ILP,ttc,0.0,205
1,12,ILP,ttv,40.0,217
1,13,ILP,ttc,0.0,210
1,13,ILP,ttv,0.0,205
1,14,ILP,ttc,0.0,209
1,14,ILP,ttv,9.0,210
1,15,ILP,ttc,3.0,221
1,15,ILP,ttv,0.0,223
1,16,ILP,ttc,0.0,207
1,16,ILP,ttv,23.0,239
1,17,ILP,ttc,1.0,254
1,17,ILP,ttv,0.0,234
1,18,ILP,ttc,0.0,211
1,18,ILP,ttv,13.0,231
1,19,ILP,ttc,2.0,235
1,19,ILP,ttv,0.0,240
1,20,ILP,ttc,0.0,202
1,20,ILP,ttv,0.0,212
1,21,ILP,ttc,3.0,211
1,21,ILP,ttv,4.0,201
1,22,ILP,ttc,0.0,241
1,22,ILP,ttv,0.0,212
1,23,ILP,ttc,2.0,204
1,23,ILP,ttv,58.0,463
1,24,ILP,ttc,0.0,192
1,24,ILP,ttv,0.0,210
1,25,ILP,ttc,1.0,201
1,25,ILP,ttv,0.0,231
1,26,ILP,ttc,0.0,212
1,26,ILP,ttv,6.0,199
1,27,ILP,ttc,2.0,199
1,27,ILP,ttv,0.0,231
1,28,ILP,ttc,0.0,202
1,28,ILP,ttv,18.0,228
1,29,ILP,ttc,0.0,188
1,29,ILP,ttv,0.0,222
1,30,ILP,ttc,0.0,224
1,30,ILP,ttv,9.0,212
1,31,ILP,ttc,2.0,199
1,31,ILP,ttv,0.0,210
1,32,ILP,ttc,0.0,202
1,32,ILP,ttv,7.0,207
1,33,ILP,ttc,2.0,224
1,33,ILP,ttv,5.0,239
1,34,ILP,ttc,0.0,222
1,34,ILP,ttv,0.0,239
1,35,ILP,ttc,1.0,220
1,35,ILP,ttv,3.0,213
1,36,ILP,ttc,1.0,209
1,36,ILP,ttv,0.0,231
1,37,ILP,ttc,0.0,218
1,37,ILP,ttv,0.0,232
1,38,ILP,ttc,1.0,226
1,38,ILP,ttv,32.0,264
2,1,ILP,ttc,0.0,219
2,1,ILP,ttv,9.0,207
2,2,ILP,ttc,3.0,191
2,2,ILP,ttv,7.0,209
2,3,ILP,ttc,0.0,207
2,3,ILP,ttv,0.0,214
2,4,ILP,ttc,0.0,187
2,4,ILP,ttv,0.0,198
2,5,ILP,ttc,0.0,208
2,5,ILP,ttv,8.0,217
2,6,ILP,ttc,0.0,219
2,6,ILP,ttv,0.0,193
2,7,ILP,ttc,0.0,207
2,7,ILP,ttv,0.0,186
2,8,ILP,ttc,3.0,196
2,8,ILP,ttv,16.0,190
2,9,ILP,ttc,3.0,207
2,9,ILP,ttv,0.0,201
2,10,ILP,ttc,0.0,267
2,10,ILP,ttv,0.0,206
2,11,ILP,ttc,3.0,197
2,11,ILP,ttv,8.0,218
2,12,ILP,ttc,0.0,197
2,12,ILP,ttv,0.0,235
2,13,ILP,ttc,0.0,193
2,13,ILP,ttv,0.0,204
2,14,ILP,ttc,3.0,197
2,14,ILP,ttv,30.0,208
2,15,ILP,ttc,1.0,201
2,15,ILP,ttv,0.0,232
2,16,ILP,ttc,0.0,196
2,16,ILP,ttv,42.0,217
2,17,ILP,ttc,2.0,214
2,17,ILP,ttv,0.0,215
2,18,ILP,ttc,0.0,201
2,18,ILP,ttv,0.0,199
2,19,ILP,ttc,1.0,211
2,19,ILP,ttv,6.0,195
2,20,ILP,ttc,0.0,236
2,20,ILP,ttv,0.0,234
2,21,ILP,ttc,1.0,200
2,21,ILP,ttv,6.0,222
2,22,ILP,ttc,1.0,241
2,22,ILP,ttv,0.0,212
