gameCounter,winners
1,ILP-ttv
2,ILP-ttc
3,ILP-ttv
4,ILP-ttv
5,ILP-ttc
6,ILP-ttc
7,ILP-ttc
8,ILP-ttc
9,ILP-ttv
10,ILP-ttc
11,ILP-ttcwscm
12,ILP-ttc
13,ILP-ttc
14,ILP-ttc
15,ILP-ttcwscm
16,ILP-ttcwscm
17,ILP-ttc
18,ILP-ttcwscm
19,ILP-ttc
20,ILP-ttc
21,ILP-ttvwscm
22,ILP-ttc
23,ILP-ttvwscm
24,ILP-ttc
25,ILP-ttc
26,ILP-ttc
27,ILP-ttc
28,ILP-ttc
29,ILP-ttvwscm
30,ILP-ttc
31,ILP-ttv
32,ILP-ttcwscm
33,ILP-ttcwscm
34,ILP-ttv
35,ILP-ttcwscm
36,ILP-ttv
37,ILP-ttcwscm
38,ILP-ttcwscm
39,ILP-ttcwscm
40,ILP-ttcwscm
41,ILP-ttvwscm
42,ILP-ttv
43,ILP-ttvwscm
44,ILP-ttv
45,ILP-ttvwscm
46,ILP-ttv
47,ILP-ttvwscm
48,ILP-ttvwscm
49,ILP-ttvwscm
50,ILP-ttvwscm
51,ILP-ttvwscm
52,ILP-ttvwscm
53,ILP-ttvwscm
54,ILP-ttcwscm
55,ILP-ttcwscm
56,ILP-ttvwscm
57,ILP-ttcwscm
58,ILP-ttvwscm
59,ILP-ttcwscm
60,ILP-ttcwscm
