gameID,winners
1,Greedy-ttc
2,Greedy-ttv
3,Greedy-ttv
4,Greedy-ttc
5,Greedy-ttc
6,Greedy-ttc
7,Greedy-ttc
8,Greedy-ttc
9,Greedy-ttvwscm
10,Greedy-ttv
11,Greedy-ttv
12,Greedy-ttv
13,Greedy-ttvwscm
14,Greedy-ttv
15,Greedy-ttv
16,Greedy-ttvwscm
17,Greedy-ttcwscm
18,Greedy-ttcwscm
19,AlphaBeta-ttc
20,AlphaBeta-ttc
21,Greedy-ttc
22,Greedy-ttc
23,Greedy-ttc
24,Greedy-ttc
25,AlphaBeta-ttcwscm
26,Greedy-ttc
27,AlphaBeta-ttcwscm
28,AlphaBeta-ttvwscm
29,AlphaBeta-ttvwscm
30,Greedy-ttc
31,Greedy-ttv
32,Greedy-ttv
33,Greedy-ttv
34,Greedy-ttv
35,Greedy-ttv
36,AlphaBeta-ttcwscm
37,AlphaBeta-ttvwscm
38,Greedy-ttv
39,Greedy-ttv
40,Greedy-ttcwscm
41,Greedy-ttcwscm
42,Greedy-ttcwscm
43,Greedy-ttcwscm
44,Greedy-ttcwscm
45,AlphaBeta-ttvwscm
46,AlphaBeta-ttvwscm
47,Greedy-ttvwscm
48,Greedy-ttvwscm
49,ILP-ttc
50,ILP-ttc
51,ILP-ttc
52,ILP-ttv
53,Greedy-ttc
54,ILP-ttv
55,ILP-ttcwscm
56,ILP-ttcwscm
57,ILP-ttcwscm
58,ILP-ttvwscm
59,Greedy-ttc
60,ILP-ttvwscm
61,ILP-ttv
62,ILP-ttv
63,ILP-ttv
64,ILP-ttcwscm
65,ILP-ttcwscm
66,ILP-ttcwscm
67,ILP-ttvwscm
68,Greedy-ttv
69,Greedy-ttv
70,ILP-ttcwscm
71,ILP-ttcwscm
72,ILP-ttcwscm
73,ILP-ttvwscm
74,ILP-ttvwscm
75,ILP-ttvwscm
76,ILP-ttvwscm
77,ILP-ttvwscm
78,ILP-ttvwscm
79,AlphaBeta-ttc
80,AlphaBeta-ttc
81,AlphaBeta-ttv
82,AlphaBeta-ttcwscm
83,AlphaBeta-ttcwscm
84,AlphaBeta-ttc
85,AlphaBeta-ttvwscm
86,AlphaBeta-ttc
87,AlphaBeta-ttc
88,AlphaBeta-ttv
89,AlphaBeta-ttv
90,AlphaBeta-ttcwscm
91,AlphaBeta-ttvwscm
92,AlphaBeta-ttvwscm
93,AlphaBeta-ttvwscm
94,AlphaBeta-ttcwscm
95,AlphaBeta-ttvwscm
96,AlphaBeta-ttcwscm
97,ILP-ttc
98,ILP-ttc
99,ILP-ttc
100,ILP-ttv
101,ILP-ttv
102,ILP-ttv
103,AlphaBeta-ttc
104,ILP-ttcwscm
105,ILP-ttcwscm
106,AlphaBeta-ttc
107,ILP-ttvwscm
108,ILP-ttvwscm
109,ILP-ttv
110,AlphaBeta-ttv
111,ILP-ttv
112,AlphaBeta-ttv
113,ILP-ttcwscm
114,ILP-ttcwscm
115,ILP-ttvwscm
116,ILP-ttvwscm
117,ILP-ttvwscm
118,ILP-ttcwscm
119,ILP-ttcwscm
120,ILP-ttcwscm
121,AlphaBeta-ttcwscm
122,ILP-ttvwscm
123,ILP-ttvwscm
124,ILP-ttvwscm
125,ILP-ttvwscm
126,ILP-ttvwscm
127,ILP-ttc
128,ILP-ttc
129,ILP-ttc
130,ILP-ttc
131,ILP-ttcwscm
132,ILP-ttc
133,ILP-ttc
134,ILP-ttvwscm
135,ILP-ttc
136,ILP-ttcwscm
137,ILP-ttcwscm
138,ILP-ttcwscm
139,ILP-ttv
140,ILP-ttv
141,ILP-ttvwscm
142,ILP-ttcwscm
143,ILP-ttvwscm
144,ILP-ttcwscm
