gameID,optimisationTechnique,objectiveFunction,score,computationTime
1,Greedy,ttc,5.0,285
1,Greedy,ttv,39.0,212
1,Greedy,ttc,0.0,13
1,Greedy,ttv,0.0,11
1,Greedy,ttc,3.0,36
1,Greedy,ttv,40.0,18862
1,Greedy,ttc,0.0,35
1,Greedy,ttv,0.0,14
1,Greedy,ttc,1.0,143
1,Greedy,ttv,2.0,306
1,Greedy,ttc,0.0,59
1,Greedy,ttv,0.0,26
1,Greedy,ttc,1.0,1348
1,Greedy,ttv,7.0,3295
1,Greedy,ttc,1.0,6367
1,Greedy,ttv,0.0,44
1,Greedy,ttc,0.0,103
1,Greedy,ttv,0.0,43
1,Greedy,ttc,0.0,279
1,Greedy,ttv,0.0,47
1,Greedy,ttc,0.0,137
1,Greedy,ttv,0.0,80
1,Greedy,ttc,0.0,313
1,Greedy,ttv,0.0,88
1,Greedy,ttc,0.0,109
1,Greedy,ttv,0.0,102
1,Greedy,ttc,0.0,248
1,Greedy,ttv,5.0,135
1,Greedy,ttc,3.0,13
1,Greedy,ttv,0.0,3
1,Greedy,ttc,0.0,6
1,Greedy,ttv,0.0,3
1,Greedy,ttc,1.0,50
1,Greedy,ttv,21.0,503
1,Greedy,ttc,3.0,9328
1,Greedy,ttv,74.0,60067
1,Greedy,ttc,0.0,5
1,Greedy,ttv,5.0,18
1,Greedy,ttc,1.0,165
1,Greedy,ttv,0.0,318
1,Greedy,ttc,0.0,281
1,Greedy,ttv,0.0,466
1,Greedy,ttc,0.0,256
1,Greedy,ttv,0.0,362
1,Greedy,ttc,0.0,116
1,Greedy,ttv,3.0,704
1,Greedy,ttc,3.0,60025
1,Greedy,ttv,0.0,5613
1,Greedy,ttc,0.0,10143
1,Greedy,ttv,36.0,11905
1,Greedy,ttc,0.0,10402
1,Greedy,ttv,0.0,4949
1,Greedy,ttc,3.0,15428
1,Greedy,ttv,30.0,477
1,Greedy,ttc,0.0,5
1,Greedy,ttv,0.0,3
1,Greedy,ttc,0.0,3
1,Greedy,ttv,40.0,24669
1,Greedy,ttc,3.0,6507
1,Greedy,ttv,0.0,0
1,Greedy,ttc,0.0,1
1,Greedy,ttv,9.0,1
1,Greedy,ttc,2.0,60100
1,Greedy,ttv,0.0,0
1,Greedy,ttc,0.0,0
1,Greedy,ttv,10.0,5
1,Greedy,ttc,2.0,1943
1,Greedy,ttv,0.0,0
1,Greedy,ttc,0.0,1
1,Greedy,ttv,8.0,6
1,Greedy,ttc,1.0,74
1,Greedy,ttv,0.0,556
1,Greedy,ttc,0.0,88
1,Greedy,ttv,7.0,5695
1,Greedy,ttc,2.0,12752
1,Greedy,ttv,0.0,9
1,Greedy,ttc,0.0,8
