gameID,winners
1,Greedy-ttv
2,Greedy-ttcwscm
3,Greedy-ttc
4,Greedy-ttcwscm
5,Greedy-ttvwscm
6,Greedy-ttcwscm
7,Greedy-ttc
8,Greedy-ttc
9,AlphaBeta-ttcwscm
10,Greedy-ttc
11,AlphaBeta-ttv
12,Greedy-ttv
13,Greedy-ttv
14,Greedy-ttcwscm
15,Greedy-ttcwscm
16,AlphaBeta-ttvwscm
17,Greedy-ttc
18,ILP-ttv
19,ILP-ttcwscm
20,ILP-ttvwscm
21,Greedy-ttv
22,ILP-ttcwscm
23,ILP-ttvwscm
24,ILP-ttcwscm
25,ILP-ttvwscm
26,ILP-ttvwscm
27,AlphaBeta-ttc
28,AlphaBeta-ttcwscm
29,AlphaBeta-ttvwscm
30,AlphaBeta-ttv
31,AlphaBeta-ttvwscm
32,AlphaBeta-ttvwscm
33,AlphaBeta-ttc
34,ILP-ttv
35,AlphaBeta-ttc
36,ILP-ttvwscm
37,ILP-ttv
38,ILP-ttcwscm
39,ILP-ttvwscm
40,ILP-ttcwscm
41,AlphaBeta-ttcwscm
42,ILP-ttvwscm
43,ILP-ttc
44,ILP-ttcwscm
45,ILP-ttc
46,ILP-ttcwscm
47,ILP-ttvwscm
48,ILP-ttcwscm
