gameID,optimisationTechnique,objectiveFunction,score,computationTime
1,Greedy,ttc,9.0,1391
1,Greedy,ttv,77.0,3723
1,Greedy,ttc,0.0,3
1,Greedy,ttv,0.0,3
1,Greedy,ttc,0.0,4
1,Greedy,ttv,0.0,3
1,Greedy,ttc,0.0,5
1,Greedy,ttv,9.0,5
1,Greedy,ttc,0.0,5
1,Greedy,ttv,0.0,2
1,Greedy,ttc,0.0,5
1,Greedy,ttv,0.0,3
1,Greedy,ttc,0.0,5
1,Greedy,ttv,13.0,6
1,Greedy,ttc,0.0,38
1,Greedy,ttv,0.0,6
1,Greedy,ttc,3.0,60056
1,Greedy,ttv,24.0,17
1,Greedy,ttc,1.0,5
1,Greedy,ttv,13.0,9
1,Greedy,ttc,0.0,27
1,Greedy,ttv,0.0,8
1,Greedy,ttc,0.0,17
1,Greedy,ttv,0.0,9
1,Greedy,ttc,3.0,25
1,Greedy,ttv,19.0,50920
1,Greedy,ttc,0.0,0
1,Greedy,ttv,25.0,17
1,Greedy,ttc,0.0,6
1,Greedy,ttv,0.0,5
1,Greedy,ttc,0.0,6
1,Greedy,ttv,6.0,361
1,Greedy,ttc,2.0,136
1,Greedy,ttv,0.0,47
1,Greedy,ttc,0.0,22
1,Greedy,ttv,10.0,1611
1,Greedy,ttc,5.0,60079
1,Greedy,ttv,15.0,60013
1,Greedy,ttc,0.0,0
1,Greedy,ttv,10.0,1
1,Greedy,ttc,1.0,18
1,Greedy,ttv,0.0,16
1,Greedy,ttc,0.0,18
1,Greedy,ttv,7.0,774
1,Greedy,ttc,0.0,837
1,Greedy,ttv,0.0,734
1,Greedy,ttc,0.0,816
1,Greedy,ttv,4.0,9924
1,Greedy,ttc,0.0,21729
1,Greedy,ttv,0.0,10150
1,Greedy,ttc,0.0,47220
1,Greedy,ttv,0.0,10493
1,Greedy,ttc,2.0,60024
1,Greedy,ttv,10.0,18163
1,Greedy,ttc,2.0,60021
1,Greedy,ttv,0.0,4444
1,Greedy,ttc,0.0,16363
1,Greedy,ttv,21.0,60011
1,Greedy,ttc,1.0,60005
1,Greedy,ttv,0.0,28861
1,Greedy,ttc,0.0,60003
1,Greedy,ttv,9.0,60002
1,Greedy,ttc,0.0,60002
1,Greedy,ttv,0.0,60002
1,Greedy,ttc,2.0,60019
1,Greedy,ttv,0.0,36130
1,Greedy,ttc,0.0,60002
1,Greedy,ttv,18.0,60019
1,Greedy,ttc,2.0,6784
1,Greedy,ttv,7.0,586
1,Greedy,ttc,0.0,802
1,Greedy,ttv,0.0,518
1,Greedy,ttc,0.0,832
1,Greedy,ttv,14.0,758
1,Greedy,ttc,1.0,2
1,Greedy,ttv,12.0,48
1,Greedy,ttc,0.0,360
1,Greedy,ttv,0.0,47
1,Greedy,ttc,2.0,60067
1,Greedy,ttv,0.0,8542
1,Greedy,ttc,0.0,60004
1,Greedy,ttv,8.0,33624
1,Greedy,ttc,2.0,60042
1,Greedy,ttv,0.0,39000
1,Greedy,ttc,0.0,60002
1,Greedy,ttv,12.0,60003
1,Greedy,ttc,1.0,60003
1,Greedy,ttv,0.0,60002
1,Greedy,ttc,0.0,60001
1,Greedy,ttv,8.0,60052
2,Greedy,ttc,9.0,28
2,Greedy,ttv,6.0,2
2,Greedy,ttc,0.0,1
2,Greedy,ttv,0.0,1
2,Greedy,ttc,0.0,1
2,Greedy,ttv,23.0,17
2,Greedy,ttc,0.0,1
2,Greedy,ttv,0.0,1
2,Greedy,ttc,0.0,1
2,Greedy,ttv,0.0,1
2,Greedy,ttc,1.0,16
2,Greedy,ttv,13.0,824
2,Greedy,ttc,0.0,181
2,Greedy,ttv,0.0,602
2,Greedy,ttc,0.0,120
2,Greedy,ttv,0.0,579
2,Greedy,ttc,3.0,12875
2,Greedy,ttv,0.0,566
2,Greedy,ttc,0.0,110
2,Greedy,ttv,44.0,1106
2,Greedy,ttc,0.0,110
2,Greedy,ttv,0.0,519
2,Greedy,ttc,2.0,191
2,Greedy,ttv,15.0,2204
2,Greedy,ttc,1.0,10079
2,Greedy,ttv,0.0,10333
2,Greedy,ttc,0.0,10191
2,Greedy,ttv,0.0,10640
2,Greedy,ttc,1.0,17552
2,Greedy,ttv,22.0,37080
2,Greedy,ttc,0.0,1273
2,Greedy,ttv,9.0,4810
2,Greedy,ttc,0.0,2426
2,Greedy,ttv,0.0,4744
2,Greedy,ttc,0.0,2495
2,Greedy,ttv,0.0,4932
2,Greedy,ttc,0.0,2553
2,Greedy,ttv,0.0,5109
2,Greedy,ttc,1.0,15592
2,Greedy,ttv,26.0,11016
2,Greedy,ttc,1.0,51
2,Greedy,ttv,0.0,2
2,Greedy,ttc,0.0,3
2,Greedy,ttv,0.0,2
2,Greedy,ttc,0.0,3
2,Greedy,ttv,7.0,5
2,Greedy,ttc,1.0,13
2,Greedy,ttv,0.0,1
2,Greedy,ttc,0.0,1
2,Greedy,ttv,0.0,1
2,Greedy,ttc,0.0,0
2,Greedy,ttv,0.0,1
2,Greedy,ttc,3.0,1
2,Greedy,ttv,25.0,3602
2,Greedy,ttc,1.0,161
2,Greedy,ttv,0.0,58
2,Greedy,ttc,0.0,229
2,Greedy,ttv,16.0,3850
2,Greedy,ttc,2.0,46756
2,Greedy,ttv,0.0,40515
2,Greedy,ttc,0.0,49173
2,Greedy,ttv,15.0,60002
2,Greedy,ttc,1.0,60002
2,Greedy,ttv,0.0,60001
2,Greedy,ttc,0.0,60001
2,Greedy,ttv,17.0,60001
2,Greedy,ttc,0.0,60000
2,Greedy,ttv,0.0,60001
